ticker,score
MMU,0.549113
TOUR,0.54831845
AWX,0.54543936
YPF,0.544989
VET,0.5433152
VKI,0.5423477
MVST,0.5419844
LICY,0.5417032
NOM,0.5384248
VHI,0.53840345
MQY,0.53769916
THTX,0.5375919
BEEM,0.5360394
GRND,0.53582346
VNET,0.535756
BTT,0.5354224
BTI,0.53539693
SIRI,0.5350861
HAS,0.53429574
INSP,0.5339299
BTE,0.532421
AYRO,0.53240705
MYD,0.5322073
NCL,0.53159726
LIND,0.531305
TAP,0.530382
BMY,0.5302501
SSP,0.53015137
CP,0.529793
KRO,0.5293493
REGCP,0.5293491
EJH,0.52918327
MRVI,0.5286795
AYTU,0.528643
FIS,0.5284798
NBB,0.52843356
OC,0.52841115
MHK,0.52829397
WDC,0.5280448
INTG,0.52785975
BYM,0.5278139
EBS,0.5277948
ECPG,0.52765137
AJG,0.5274171
GENI,0.52736336
NCRA,0.52674097
SXTC,0.5265179
RCI,0.5264365
DRH,0.5263463
EVER,0.5261604
VTS,0.5261146
BNED,0.52603245
STEP,0.525912
AZUL,0.52583385
TSQ,0.5254845
OUT,0.52538186
GFR,0.52531695
VGM,0.5249928
MHD,0.52483445
ASX,0.5247578
TKR,0.5246918
FLXS,0.5246446
FTHY,0.5245098
ALAR,0.5244788
ILMN,0.5244163
CDP,0.5243346
MQT,0.52406204
AEO,0.52402556
OLLI,0.5239785
DSM,0.52370965
SWI,0.5236792
NTCT,0.5233631
ERO,0.5232403
INDO,0.52316535
VECO,0.52297926
NML,0.52286005
OXLCO,0.52270925
CGEN,0.52230996
PINE,0.52228063
GTN,0.52205765
WULF,0.52204037
NHI,0.52185726
AUPH,0.5218567
NOW,0.52136606
GHC,0.5212568
PRCH,0.5212096
BAER,0.52093965
TMO,0.52088094
FI,0.5207851
CGAU,0.52053815
CSTL,0.5203759
ZTR,0.5203593
ZI,0.5203444
JPI,0.52028334
GRRR,0.5202514
PSO,0.5202498
NMM,0.52012
NRK,0.5199891
NVGS,0.51960266
LOAN,0.5194706
SN,0.51943773
SNN,0.5193376
BRSP,0.5192315
RTX,0.5191943
