Ticker,Undervalue Score
BTCS,213.803334264143
CPRT,185.49064410122688
GROW,90.46653087073864
ASX,
IMPP,107.11912874029676
HDSN,73.60276212273185
BON,66.5115374313202
STHO,32.99131587301766
GES,31.261621122980586
RGS,27.863996674493475
CBAT,25.45857844462739
INGM,23.858726802890644
XOM,22.0978530416726
AMCX,21.963278097429022
CNDT,10.604068813105574
USAP,8.832927136390234
RPRX,6.9205389839035485
GO,6.706454308962956
FTS,-0.892815535358614
VTS,-5.5850879529181
VMD,-7.2316243523360075
OC,-8.642769473195273
PLUS,-9.107320614423747
PHX,-13.772624772885212
NXST,-23.948966251956076
NFE,-24.121204493651273
DNUT,-30.166867673216146
BKR,-34.61478713281442
FLO,-40.125139474554985
CNP,-43.61703734588045
EXE,-46.08572390971578
NVT,-47.05825220378238
DORM,-52.47053125010489
SO,-59.474381710091684
AVTR,-65.91150694359887
HAE,-90.86966760578508
GEHC,-107.22666977169435
LIN,-115.91378275786025
RECT,-117.70568126837534
KNX,-127.68724889819163
ACAD,-141.1858540179117
RPM,-142.40671563870552
EVRI,-144.34457973449634
CRAI,-149.36763592508254
BHP,-159.62416411732187
UL,-175.3256752262969
CHRW,-184.5016807790019
UBER,-237.8392694969309
GRI,-246.01796559823174
BP,-251.67595995788955
VSCO,-251.91387417872969
ZTS,-421.22171997732806
CTAS,-562.4405761880296
NVDA,-1605.635278158924
MCAG,-20473.811788323652
