Ticker,Undervalue Score
SGRP,
UROY,617.8721396729264
TRAK,296.1473682099027
UTMD,217.05358251258565
SLP,197.9824925329038
UG,129.11212482412495
TWG,103.92316164394022
ROIV,95.6734006114701
SBC,93.6204976810904
TORO,91.67769082852494
RGR,71.53259975565624
WIT,69.26784030071073
RES,66.29450419733625
ULY,62.12557520739662
TAYD,56.07907565262587
VALE,55.176392792599025
WEYS,55.11660374261103
STNE,52.01993501068407
TROW,51.986880717039895
SWBI,49.4587296463261
TRMD,48.32481314218898
UTHR,47.52695164168826
SY,46.74006225659927
REI,44.121400236933326
RGP,43.96675985986131
SPTN,42.60363680913892
SB,41.79828660034828
TM,41.05855669961385
TSEM,39.906203634885465
RS,37.80097613809097
SGA,36.63831732187977
UFPI,32.67635731868415
YGMZ,32.49827939165721
VIRC,32.14094277930113
RNGR,31.00333134989985
SDRL,29.64113825057083
STHO,27.685480256265265
SM,27.66722075690985
SIGA,27.631311583797817
RCKY,27.52532074934687
TSAT,27.478858697643044
TOL,27.415958928106654
TEX,26.49217048146057
SNPX,24.126867278424296
SD,21.963029318495582
SU,21.779768137875553
X,17.815487666209606
RYI,17.301701093361082
VPG,14.9834944313951
VRN,14.887635812479843
ZBH,12.27408638554091
WTTR,12.26062873757226
RMBS,11.506590842021325
SIMO,11.358651656842278
RMR,11.189781280630163
ZIM,10.55194846262687
ULH,10.038172303135703
TCMD,8.498126748952481
SPCB,8.274885314395796
TAP,7.93772511375567
TALO,7.6215299337046085
VAC,6.66979997212197
TRNO,6.567992693109614
SNA,5.39631229236438
SEM,1.5069012670456627
SCL,0.6275937795263281
REZI,-0.6996237117782349
VSH,-2.433181546388437
SW,-2.9011923090912632
SPOK,-2.9635663521714206
SFL,-3.194826565733226
SAH,-3.3622081266367094
TSN,-4.425387490218105
SBH,-5.844478084217314
UHS,-6.542692285177501
THR,-8.338912816034533
TRSG,-11.911161714808694
ZBAO,-12.313242625488536
TU,-12.799579832315459
WERN,-13.059466827758001
TDY,-13.875550805553283
TR,-16.25427187796137
SSTK,-16.267519522675535
UE,-17.656030360029213
SHO,-18.25570634054446
SNT,-18.95842641059749
SLB,-20.08590560767727
TRNS,-21.23545483880276
T,-22.56720215311204
VECO,-22.73679394134711
SMPL,-23.163261823998088
TOYO,-24.209544693695207
SHEL,-26.500119327522253
SRE,-27.23920010573521
THAR,-27.616910546031377
SNCY,-28.57810325089638
SUPN,-29.62886713411801
SKYW,-32.76361613015298
VSEC,-33.193910709760154
YELP,-34.1316853397503
XEL,-34.537339787785676
SAIC,-36.60767153873255
TATT,-37.25117068669865
TECH,-37.76659051217812
SLVM,-38.27564958342176
STE,-38.331623908941914
SIEB,-39.25377364178693
YUMC,-39.517603562829976
XRTX,-40.94166547198284
SAM,-41.061354566651495
WD,-41.48075146749329
TRMB,-41.599313455911734
TAL,-41.71414145885989
RRC,-43.70791866949432
RTX,-43.71066403280199
TTMI,-47.8134272168143
RITR,-48.406839878895966
WEC,-50.51130519113831
WLFC,-52.34244482633665
WTS,-53.28868366082351
VYNE,-53.80232252645085
UAL,-57.40425317475892
VNOM,-57.66230013452842
RRX,-59.46628078256664
WSO,-59.80298589973094
THC,-62.442342192888255
VIST,-64.70481183680842
VMI,-69.40759121924141
UK,-71.75753703782371
REVG,-83.38713044196702
WFRD,-84.72881700991583
WAB,-89.28298393456731
TER,-91.25056734279669
UHAL,-94.90671110967745
ZWS,-97.98738836000653
RHI,-100.82128090159345
TGT,-100.94163951442275
YETI,-102.07738772038009
VOD,-102.80988646706919
VTAK,-108.45495729021818
SVT,-118.8915789453205
TIGR,-123.85501696467789
RSG,-124.99917348763702
WGO,-125.32770392282922
TPR,-128.1729294453183
TTC,-132.8340240175828
TTSH,-140.86821828773083
RPM,-153.36411809455979
UPS,-153.37538361175487
TTI,-155.04050828991026
ZBRA,-163.03816058338123
SYK,-163.78232910890114
UL,-188.85975047765157
TRU,-193.94891458913216
TAC,-200.68017130910317
SWKH,-209.84962965766934
SKYE,-211.27694140122819
SCI,-223.75054624879974
TXRH,-224.30362053065647
WDAY,-225.52934740359566
VERB,-253.9367464606757
UCTT,-305.90015457568427
XPO,-357.1713218122939
WAT,-389.00683766255537
SRPT,-409.4331324424036
WEN,-410.1377589522537
TPX,-571.2106911202875
TSLA,-640.5710245410111
SEZL,-888.8655046226942
SPHL,-1794.5587419327594
TITN,
STAA,4.688315877621663
VNCE,-29.067051023066327
VVI,-315.8502126608226
V,-437.2204394531888
TJX,-602.0966325264579
VTSI,
YRD,68.22536662855235
TNK,67.67163585808382
SRTS,57.97756340923041
RIOT,52.05054404647751
TK,50.37387409872387
ZTO,44.269559385807014
STG,38.74058652204446
VLGEA,37.94747624772469
WDH,35.98799661159479
TGNA,34.780157411333946
SBLK,32.720979862945406
REGN,26.03888054303123
VLO,23.188516259048033
SHIP,22.42276413935179
SHLS,20.377359188024712
SMP,14.286077623932808
TGS,14.061444147674774
SMX,12.932531277280829
WVVIP,3.6643096939477227
TFX,-0.39542976269089924
WS,-2.1316865575432997
SNDR,-7.406241099999108
UTL,-24.26827005167851
SQNS,-27.96094693353335
VRTS,-28.23867529459353
SJM,-28.759099734321182
WTRG,-29.183381766703114
SLNG,-30.367328840840045
SAMG,-32.456357766921904
SLGN,-34.43907158522214
WHD,-38.46138457536895
SWX,-40.3140104071778
UFPT,-41.534527876266615
RICK,-52.77712199652495
ZGN,-55.19746983043024
SOTK,-62.13621395355934
SYTA,-64.22097054431853
WOR,-90.0444612887855
TMUS,-100.54666503578973
SEI,-101.45338346994008
WCN,-108.82101399798943
SPXC,-110.83018005655896
WT,-122.72947710996725
WLK,-149.49956309651458
SCCO,-209.88636316994507
VRRM,-242.2557887163565
SNES,-253.38954959695377
ROK,-265.58230371671823
YYGH,-320.5998633456385
SWVL,-333.255397137157
TSCO,-370.64460314892426
WDFC,-398.6391205860623
SARO,-402.7934576971121
VCEL,-423.8224179343602
SYY,-554.4044556463496
SPOT,-725.914136740206
RSLS,-907.0131246333414
VLRS,-1019.0733121453367
SMCI,
REX,94.31991346111472
SLI,86.29729430023892
WKC,85.33852228248946
WILC,63.936636388129166
SJ,62.93617948660742
SKM,57.719993879141384
UMC,54.66603775331963
SUZ,
TPL,677.2427703068174
TNON,
WETH,78.53026319748214
USNA,66.16455134527793
TANH,63.09399875849579
VIPS,62.462100382783234
SEIC,55.16907535441784
SIM,51.66762065804473
TMHC,48.52560740148767
VHI,37.53942680695592
STNG,36.96770535945275
ULBI,25.51050655407131
TME,23.658929247822936
ROCK,20.774763790477312
XOM,17.93976084704432
SCVL,15.673020046125957
TS,8.206293068562893
TNC,6.257679459396434
RIO,5.736460342070271
SXC,4.37510766866425
WDS,3.263154281514523
TIGO,3.0095176856357404
TRS,2.9317814620327827
RLGT,-1.27099026356427
SPRO,-1.4574614302684308
SNX,-4.004225753054206
SR,-5.585622976667763
RUSHB,-5.66279918964403
VTS,-17.629089941283727
VMD,-18.554440892660416
SAIA,-21.72535558976463
XPRO,-28.825332533367607
WHLM,-37.72710550275554
SSD,-38.19118830480039
TILE,-50.969061265617235
STN,-53.7347143717363
SO,-63.26783601422221
VIRT,-65.47187755984999
VEON,-70.84418289182169
RBA,-76.04632047994444
SWIM,-84.21393189092555
WWD,-89.49585422306315
SVV,-90.73999601313604
UCL,-103.3424548826814
