Symbol, dividendYield
AMG, 0.0002
CAF, 0.0002
COO, 0.0002
NVDA, 0.00029999999
NBN, 0.0005
WTM, 0.00059999997
IR, 0.0008
EPAC, 0.00090000004
HEI, 0.00090000004
VRT, 0.00090000004
TXT, 0.001
PWR, 0.0011
GEHC, 0.0014
GFL, 0.0014
KNSL, 0.0014
BSIG, 0.0015
HBM, 0.0015
PEGA, 0.0015
CCJ, 0.0016
ENSG, 0.0016
PGR, 0.0016
PVH, 0.0016
BDC, 0.0017
ASA, 0.0018000001
CHN, 0.0018000001
WIT, 0.0018000001
USLM, 0.0019
AYI, 0.002
CIGI, 0.002
PCG, 0.002
ACA, 0.0021
CLB, 0.0021
TILE, 0.0022
BELFA, 0.0023
EME, 0.0023
AG, 0.0023999999
CW, 0.0023999999
DBRG, 0.0023999999
RVTY, 0.0023999999
ESE, 0.0025
HLT, 0.0025
AAON, 0.0026
CSWI, 0.0026
DDS, 0.0026
JBL, 0.0026
WST, 0.0027
ALC, 0.0028
CASH, 0.0028
TMO, 0.0028
CHDN, 0.0029
ESAB, 0.0029
LOB, 0.0029
MRVL, 0.0029
QCRH, 0.0029
VNT, 0.0029
WING, 0.0029
TW, 0.003
HWM, 0.0031
L, 0.0031
SEB, 0.0031
ICFI, 0.0032
IGIC, 0.0032
PEB, 0.0032
STVN, 0.0032
CHE, 0.0033000002
CTS, 0.0033000002
BRKR, 0.0034
JBT, 0.0034
TRAK, 0.0034
EXP, 0.0034999999
META, 0.0034999999
NMM, 0.0034999999
VLTO, 0.0034999999
BELFB, 0.0036000002
FIX, 0.0036000002
AEIS, 0.0037
ENTG, 0.0038
H, 0.0038
NYCB, 0.0038
PRIM, 0.0038
VSEC, 0.0038
HSTM, 0.0039
TBNK, 0.0039
UHS, 0.0039
FCNCA, 0.004
KAI, 0.004
MUSA, 0.004
POWL, 0.0041
TRU, 0.0041
WAB, 0.0042
AAPL, 0.0043
EE, 0.0043
FTV, 0.0043
IDT, 0.0043
IIIN, 0.0043
MU, 0.0043
TER, 0.0043
TPL, 0.0043
WMS, 0.0043
DHR, 0.0044
ARCB, 0.0045
INTR, 0.0045
LPLA, 0.0045
TECH, 0.0045
BCPC, 0.0046
CASY, 0.0046
CRS, 0.0047999998
GOOG, 0.0047999998
GOOGL, 0.0047999998
MORN, 0.0047999998
TTEK, 0.0047999998
AGI, 0.0049
BSY, 0.0049
ATMU, 0.005
KKR, 0.005
MMLP, 0.005
VBNK, 0.005
HCC, 0.0050999997
SVM, 0.0050999997
COST, 0.0052
MA, 0.0052
MTRN, 0.0052
ODFL, 0.0052
X, 0.0052
CEG, 0.0053
DIT, 0.0053
EA, 0.0053
ESOA, 0.0053
FSV, 0.0053
GPI, 0.0053
OEC, 0.0053
RACE, 0.0053
WRB, 0.0053
CR, 0.0054
CRM, 0.0054
AC, 0.0055
BVN, 0.0055
GF, 0.0055
MLM, 0.0055
ROP, 0.0055
TDS, 0.0055
WLFC, 0.0055
BMI, 0.0056
FSS, 0.0056
MCK, 0.0056
MPWR, 0.0056
CNXN, 0.0057
MLAB, 0.0057
MTX, 0.0057
TFX, 0.0057
BRO, 0.0058
EFX, 0.0058
LLY, 0.0058
RNR, 0.0058
TRS, 0.0058
BN, 0.0058999998
BNT, 0.0058999998
ORA, 0.0058999998
VRSK, 0.0058999998
ALG, 0.006
IBP, 0.006
LAKE, 0.006
PGC, 0.006
PHM, 0.006
SSD, 0.006
TPB, 0.006
VIRC, 0.006
BCC, 0.0061000003
EVTC, 0.0061000003
RDY, 0.0061000003
TOL, 0.0061000003
WWD, 0.0061000003
HWKN, 0.0062
LAD, 0.0062
AIT, 0.0063
FFWM, 0.0063
GVA, 0.0063
PLPC, 0.0063
RICK, 0.0063
RYAN, 0.0063
TGLS, 0.0063
GE, 0.0064
CLMB, 0.0064999997
SONY, 0.0064999997
ALNT, 0.0066000004
IBKR, 0.0066000004
AME, 0.0067000003
DHI, 0.0067000003
INBK, 0.0067000003
